id,match_id,player_id,team_season_id,position,score,handicap,is_disqualified,created_at,updated_at
c14cd9c9-e913-4c75-a341-adc6851dc68a,15ee0e7a-845a-499e-b96f-5b2b83053c40,a5f7ef21-9224-4e7f-9c3d-b6576bcc34d2,d56d3309-ed81-45da-9d66-f8e98ef343fb,0,180,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
65bb9c9f-24a1-4c43-a5e3-181bba00ca63,15ee0e7a-845a-499e-b96f-5b2b83053c40,c182b57e-db20-47af-a38a-d1bc4b1a3417,d56d3309-ed81-45da-9d66-f8e98ef343fb,1,225,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
f03cbfcb-1310-4bce-a6b4-e6f1b9937c12,15ee0e7a-845a-499e-b96f-5b2b83053c40,a00641de-7bc1-4d03-9cf1-38abaa359d4c,d56d3309-ed81-45da-9d66-f8e98ef343fb,2,167,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
434170da-27d9-4dab-9446-8bb702878d11,15ee0e7a-845a-499e-b96f-5b2b83053c40,6de74109-e1b9-48f5-92b5-15c1a509897d,d56d3309-ed81-45da-9d66-f8e98ef343fb,3,212,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
2746a314-a8de-4ec6-bf94-6990493b609d,15ee0e7a-845a-499e-b96f-5b2b83053c40,07dd408b-f64d-4ce8-8753-f0c5d6697b22,b150e79a-b59f-4b51-bf44-a2441747873d,0,167,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
c11f7271-0834-4f5a-8502-976724443281,15ee0e7a-845a-499e-b96f-5b2b83053c40,7bd66458-8636-4fa3-8655-eca85d03f096,b150e79a-b59f-4b51-bf44-a2441747873d,1,154,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
817bc17a-0ff2-4f89-a91c-0f0a7f98ef4d,15ee0e7a-845a-499e-b96f-5b2b83053c40,90e54e81-0d64-4ac7-ad5d-55d4abe585e3,b150e79a-b59f-4b51-bf44-a2441747873d,2,223,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
f5c87c22-b7c4-4574-80f8-c15c86c267d1,15ee0e7a-845a-499e-b96f-5b2b83053c40,d495fa6f-93aa-4d68-b36b-79e6eafa616f,b150e79a-b59f-4b51-bf44-a2441747873d,3,181,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
73d22108-fefb-4688-a3e6-5b6e0218f797,283d5b81-3970-49e7-8849-ff0ee49e8212,da95dd95-1231-46ae-a4c4-761885cdea14,8cb1e41c-1c8d-4815-a883-2a9c723c7496,0,145,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
af16f1b0-35bc-4fbc-822e-c2059838eb63,283d5b81-3970-49e7-8849-ff0ee49e8212,774e8112-a3e3-4611-aa39-bce9f48a1a8d,8cb1e41c-1c8d-4815-a883-2a9c723c7496,1,208,,False,2026-01-06T00:08:11.642761,2026-01-06T00:08:11.642761
