id,match_id,position,team1_player_id,team2_player_id,team1_score,team2_score,outcome,created_at,updated_at
018b06da-0321-447e-8ceb-216dcb1780ef,d3f77b73-f2bf-4eb3-94df-4d7badd36b76,0,df3221ad-9481-4ceb-80b9-11b3ece4f28e,034142ea-e290-4541-9c04-63b1c6383467,156,182,team2_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
a5e0cda6-c762-42d2-8004-bb619d456893,d3f77b73-f2bf-4eb3-94df-4d7badd36b76,1,b6570c2c-7bfc-476f-8075-eab11fa9d527,968332d4-2704-4536-bc35-c3cb526580ee,166,140,team1_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
906c725b-9789-4e42-8740-8ecefdfa3b20,d3f77b73-f2bf-4eb3-94df-4d7badd36b76,2,87ad6e1c-6baa-4831-a07d-97ef3539d4d0,998a7cc3-c9fd-4d48-bbe2-3c682aa0fadb,172,211,team2_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
18db2f05-c4b3-48e8-bdac-def40f8f73c1,d3f77b73-f2bf-4eb3-94df-4d7badd36b76,3,f6960962-5019-4783-aff4-0b8e9179bc96,97532b2d-2740-4d3e-86a6-dcbcaa62785e,178,209,team2_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
d499f411-96aa-44de-bc9d-e90752121f91,9c00f2ab-67fd-4e15-8e40-5c39862eb9fb,0,6bc6d5ab-32a9-4df4-91cf-4e0100e13c87,a53ee0fb-bee0-41e8-b286-88d59e84edcb,173,161,team1_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
a9c99359-b717-4e52-9ced-6f1ba1d7e956,9c00f2ab-67fd-4e15-8e40-5c39862eb9fb,1,1843ec94-829e-469f-a78a-13e8f7efd876,80b05bc2-96ee-4309-895e-6781fbc1075b,210,134,team1_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
673ff47b-25cb-4089-8ea0-41d8ce8809b4,9c00f2ab-67fd-4e15-8e40-5c39862eb9fb,2,e4fb239b-230f-4188-9b92-dc7c64d63c67,fd39870b-3b41-42b5-8028-2f4ea2a24759,181,177,team1_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
eef1e075-819b-47f1-948b-ff1b6f6c31b1,9c00f2ab-67fd-4e15-8e40-5c39862eb9fb,3,12929105-7ccb-4ad1-ad04-ac5fa159d469,01480a8a-1c5a-4285-b89a-9541ee650fec,181,166,team1_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
f1ef4a2d-e933-4b01-aa25-f678d4fd54af,1d9bd354-62ab-4905-a252-24aeabf14119,0,8cde3e27-5a40-4cf9-b0c6-50aeb0adcfec,f1f409ba-12f7-4f62-bb7a-870eb07955ef,189,172,team1_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
1b27b2b0-6bd5-4a6c-92a4-5886197d654b,1d9bd354-62ab-4905-a252-24aeabf14119,1,15441669-c9ce-4d3d-9500-0ae273aa3efd,a50cf26b-4c7b-42f7-9e82-a157e0e4b80f,179,185,team2_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
0521ea1c-0852-45ba-8698-5e687da62ee2,1d9bd354-62ab-4905-a252-24aeabf14119,2,7ae03232-f2b1-4886-a95b-dc00164d6c64,94d25f5b-e9ee-42d5-b401-d550da88d60f,162,190,team2_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
a2b14954-1955-4b0d-bc13-4a6f7c4fe5e7,1d9bd354-62ab-4905-a252-24aeabf14119,3,4c2c8084-00fd-4275-8845-fb9a718adb8f,ab61d75c-098e-4a43-a560-eccc6fd885f6,203,180,team1_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
53b99002-c71c-4186-8d8d-05c77d401aaa,5994ef9d-ee5b-4cca-8e0e-2472ba44b8dc,0,df3221ad-9481-4ceb-80b9-11b3ece4f28e,f1f409ba-12f7-4f62-bb7a-870eb07955ef,193,163,team1_win,2026-01-11T15:57:23.051925,2026-01-11T15:57:23.051925
7cf32731-5c47-498b-b8e6-4bd62e9d47a1,5994ef9d-ee5b-4cca-8e0e-2472ba44b8dc,1,b6570c2c-7bfc-476f-8075-eab11fa9d527,a50cf26b-4c7b-42f7-9e82-a157e0e4b80f,127,159,team2_win,2026-01-11T15:57:23.053451,2026-01-11T15:57:23.053451
8bb98f18-289c-48ee-b3c8-3abb4bc73fff,5994ef9d-ee5b-4cca-8e0e-2472ba44b8dc,2,87ad6e1c-6baa-4831-a07d-97ef3539d4d0,94d25f5b-e9ee-42d5-b401-d550da88d60f,123,164,team2_win,2026-01-11T15:57:23.053451,2026-01-11T15:57:23.053451
bbe6d40b-7067-4d79-9787-cc6d6333cb69,5994ef9d-ee5b-4cca-8e0e-2472ba44b8dc,3,f6960962-5019-4783-aff4-0b8e9179bc96,ab61d75c-098e-4a43-a560-eccc6fd885f6,146,179,team2_win,2026-01-11T15:57:23.053451,2026-01-11T15:57:23.053451
